CD,CSPA category,is CD,ENTREZ ac,ENTREZ gene symbol,Experiment tag,ID link,UP entry name,celltype (Table!S4!statistics$1),Count Detection In Different Cell Types,Num Unique Peps,Organism,Protein Probability
no,1 - high confidence,non CD,150,ADRA2A,Adipocytes,P08913,ADA2A_HUMAN,,1,1,Human,0.9941
no,1 - high confidence,non CD,375790,AGRN,Adipocytes,O00468,AGRIN_HUMAN,,14,1,Human,0.9936
no,1 - high confidence,non CD,197,AHSG,Adipocytes,P02765,FETUA_HUMAN,,3,1,Human,0.9941
no,1 - high confidence,non CD,84168,ANTXR1,Adipocytes,Q9H6X2,ANTR1_HUMAN,,29,1,Human,0.9918
no,1 - high confidence,non CD,187,APLNR,Adipocytes,P35414,APJ_HUMAN,,2,1,Human,0.9941
no,1 - high confidence,non CD,54829,ASPN,Adipocytes,Q9BXN1,ASPN_HUMAN,,1,1,Human,0.9941
no,1 - high confidence,non CD,10384,BTN3A3,Adipocytes,O00478,BT3A3_HUMAN,,33,1,Human,0.9941
no,1 - high confidence,non CD,64115,C10orf54,Adipocytes,Q9H7M9,GI24_HUMAN,,6,1,Human,0.9941
no,1 - high confidence,non CD,112770,C1orf85,Adipocytes,Q8WWB7,NCUG1_HUMAN,,13,1,Human,0.9627
no,1 - high confidence,non CD,23705,CADM1,Adipocytes,Q9BY67,CADM1_HUMAN,,32,1,Human,0.9941
no,1 - high confidence,non CD,253559,CADM2,Adipocytes,Q8N3J6,CADM2_HUMAN,,5,1,Human,0.9224
no,1 - high confidence,non CD,57863,CADM3,Adipocytes,Q8N126,CADM3_HUMAN,,3,1,Human,0.9936
no,1 - high confidence,non CD,3075,CFH,Adipocytes,P08603,CFAH_HUMAN,,4,1,Human,0.9941
no,1 - high confidence,non CD,161198,CLEC14A,Adipocytes,Q86T13,CLC14_HUMAN,,2,1,Human,0.9872
no,1 - high confidence,non CD,7373,COL14A1,Adipocytes,Q05707,COEA1_HUMAN,,8,1,Human,0.9941
no,1 - high confidence,non CD,8804,CREG1,Adipocytes,O75629,CREG1_HUMAN,,5,1,Human,0.9936
no,1 - high confidence,non CD,1464,CSPG4,Adipocytes,Q6UVK1,CSPG4_HUMAN,,21,1,Human,0.9941
no,1 - high confidence,non CD,1509,CTSD,Adipocytes,P07339,CATD_HUMAN,,21,1,Human,0.9941
no,1 - high confidence,non CD,57007,CXCR7,Adipocytes,P25106,CXCR7_HUMAN,,7,1,Human,0.9941
no,1 - high confidence,non CD,1605,DAG1,Adipocytes,Q14118,DAG1_HUMAN,,25,1,Human,0.9941
no,1 - high confidence,non CD,1800,DPEP1,Adipocytes,P16444,DPEP1_HUMAN,,4,1,Human,0.858
no,1 - high confidence,non CD,1829,DSG2,Adipocytes,Q14126,DSG2_HUMAN,,27,1,Human,0.9895
no,1 - high confidence,non CD,1909,EDNRA,Adipocytes,P25101,EDNRA_HUMAN,,4,1,Human,0.9895
no,1 - high confidence,non CD,2202,EFEMP1,Adipocytes,Q12805,FBLN3_HUMAN,,1,1,Human,0.8419
no,1 - high confidence,non CD,133418,EMB,Adipocytes,Q6PCB8,EMB_HUMAN,,30,1,Human,0.9941
no,1 - high confidence,non CD,2047,EPHB1,Adipocytes,P54762,EPHB1_HUMAN,,8,1,Human,0.9872
no,1 - high confidence,non CD,90952,ESAM,Adipocytes,Q96AP7,ESAM_HUMAN,,3,1,Human,0.9936
no,1 - high confidence,non CD,2162,F13A1,Adipocytes,P00488,F13A_HUMAN,,1,1,Human,0.9941
no,1 - high confidence,non CD,2147,F2,Adipocytes,P00734,THRB_HUMAN,,10,1,Human,0.9775
no,1 - high confidence,non CD,2199,FBLN2,Adipocytes,P98095,FBLN2_HUMAN,,2,1,Human,0.9941
no,1 - high confidence,non CD,100132417,FCGR1C,Adipocytes,A6NKC4,FCGRC_HUMAN,,3,1,Human,0.9941
no,1 - high confidence,non CD,2217,FCGRT,Adipocytes,P55899,FCGRN_HUMAN,,3,1,Human,0.9941
no,1 - high confidence,non CD,2244,FGB,Adipocytes,P02675,FIBB_HUMAN,,21,1,Human,0.9941
no,1 - high confidence,non CD,10875,FGL2,Adipocytes,Q14314,FGL2_HUMAN,,3,1,Human,0.9686
no,1 - high confidence,non CD,0,G6B,Adipocytes,O95866,G6B_HUMAN,,3,1,Human,0.9941
no,1 - high confidence,non CD,2239,GPC4,Adipocytes,O75487,GPC4_HUMAN,,3,1,Human,0.958
no,1 - high confidence,non CD,2824,GPM6B,Adipocytes,Q13491,GPM6B_HUMAN,,9,1,Human,0.9941
no,1 - high confidence,non CD,221395,GPR116,Adipocytes,Q8IZF2,GP116_HUMAN,,3,1,Human,0.9941
no,1 - high confidence,non CD,2896,GRN,Adipocytes,P28799,GRN_HUMAN,,8,1,Human,0.9936
no,1 - high confidence,non CD,3105,HLA-A,Adipocytes,P01891,1A68_HUMAN,,19,1,Human,0.999
no,1 - high confidence,non CD,3105,HLA-A,Adipocytes,P13746,1A11_HUMAN,,11,1,Human,0.9872
no,1 - high confidence,non CD,3106,HLA-B,Adipocytes,P30479,1B41_HUMAN,,5,1,Human,0.999
no,1 - high confidence,non CD,3107,HLA-C,Adipocytes,P10321,1C07_HUMAN,,5,1,Human,0.8756
no,1 - high confidence,non CD,3120,HLA-DQB2,Adipocytes,P05538,DQB2_HUMAN,,11,1,Human,0.9941
no,1 - high confidence,non CD,3123,HLA-DRB1,Adipocytes,P01911,2B1F_HUMAN,,4,1,Human,0.9953
no,1 - high confidence,non CD,3501,IGHG2,Adipocytes,P01859,IGHG2_HUMAN,,5,1,Human,0.993
no,1 - high confidence,non CD,3693,ITGB5,Adipocytes,P18084,ITB5_HUMAN,,20,1,Human,0.9062
no,1 - high confidence,non CD,23065,KIAA0090,Adipocytes,Q8N766,K0090_HUMAN,,28,1,Human,0.9936
no,1 - high confidence,non CD,3827,KNG1,Adipocytes,P01042,KNG1_HUMAN,,3,1,Human,0.9924
no,1 - high confidence,non CD,4057,LTF,Adipocytes,P02788,TRFL_HUMAN,,1,1,Human,0.9575
no,1 - high confidence,non CD,22915,MMRN1,Adipocytes,Q13201,MMRN1_HUMAN,,3,1,Human,0.9941
no,1 - high confidence,non CD,9019,MPZL1,Adipocytes,O95297,MPZL1_HUMAN,,46,1,Human,0.9941
no,1 - high confidence,non CD,10205,MPZL2,Adipocytes,O60487,MPZL2_HUMAN,,11,1,Human,0.9941
no,1 - high confidence,non CD,10232,MSLN,Adipocytes,Q13421,MSLN_HUMAN,,10,1,Human,0.9758
no,1 - high confidence,non CD,408050,NOMO3,Adipocytes,P69849,NOMO3_HUMAN,,23,1,Human,0.8384
no,1 - high confidence,non CD,4864,NPC1,Adipocytes,O15118,NPC1_HUMAN,,17,1,Human,0.9941
no,1 - high confidence,non CD,4915,NTRK2,Adipocytes,Q16620,NTRK2_HUMAN,,5,1,Human,0.959
no,1 - high confidence,non CD,5360,PLTP,Adipocytes,P55058,PLTP_HUMAN,,17,1,Human,0.9941
no,1 - high confidence,non CD,83483,PLVAP,Adipocytes,Q9BX97,PLVAP_HUMAN,,2,1,Human,0.9482
no,1 - high confidence,non CD,5364,PLXNB1,Adipocytes,O43157,PLXB1_HUMAN,,25,1,Human,0.9941
no,1 - high confidence,non CD,23129,PLXND1,Adipocytes,Q9Y4D7,PLXD1_HUMAN,,25,1,Human,0.9941
no,1 - high confidence,non CD,5420,PODXL,Adipocytes,O00592,PODXL_HUMAN,,13,1,Human,0.9941
no,1 - high confidence,non CD,5797,PTPRM,Adipocytes,P28827,PTPRM_HUMAN,,18,1,Human,0.9941
no,1 - high confidence,non CD,10268,RAMP3,Adipocytes,O60896,RAMP3_HUMAN,,1,1,Human,0.993
no,1 - high confidence,non CD,1901,S1PR1,Adipocytes,P21453,S1PR1_HUMAN,,7,1,Human,0.9924
no,1 - high confidence,non CD,286133,SCARA5,Adipocytes,Q6ZMJ2,SCAR5_HUMAN,,1,1,Human,0.9941
no,1 - high confidence,non CD,949,SCARB1,Adipocytes,Q8WTV0,SCRB1_HUMAN,,31,1,Human,0.9912
no,1 - high confidence,non CD,6330,SCN4B,Adipocytes,Q8IWT1,SCN4B_HUMAN,,3,1,Human,0.9924
no,1 - high confidence,non CD,6400,SEL1L,Adipocytes,Q9UBV2,SE1L1_HUMAN,,26,1,Human,0.9941
no,1 - high confidence,non CD,5265,SERPINA1,Adipocytes,P01009,A1AT_HUMAN,,6,1,Human,0.9941
no,1 - high confidence,non CD,12,SERPINA3,Adipocytes,P01011,AACT_HUMAN,,2,1,Human,0.9941
no,1 - high confidence,non CD,6443,SGCB,Adipocytes,Q16585,SGCB_HUMAN,,14,1,Human,0.9941
no,1 - high confidence,non CD,6444,SGCD,Adipocytes,Q92629,SGCD_HUMAN,,6,1,Human,0.9941
no,1 - high confidence,non CD,8910,SGCE,Adipocytes,O43556,SGCE_HUMAN,,17,1,Human,0.9941
no,1 - high confidence,non CD,6513,SLC2A1,Adipocytes,P11166,GTR1_HUMAN,,42,1,Human,0.9941
no,1 - high confidence,non CD,6517,SLC2A4,Adipocytes,P14672,GTR4_HUMAN,,11,1,Human,0.9941
no,1 - high confidence,non CD,113235,SLC46A1,Adipocytes,Q96NT5,PCFT_HUMAN,,26,1,Human,0.9941
no,1 - high confidence,non CD,6578,SLCO2A1,Adipocytes,Q92959,SO2A1_HUMAN,,2,1,Human,0.9941
no,1 - high confidence,non CD,56928,SPPL2B,Adipocytes,Q8TCT7,PSL1_HUMAN,,22,1,Human,0.8462
no,1 - high confidence,non CD,6745,SSR1,Adipocytes,P43307,SSRA_HUMAN,,10,1,Human,0.9809
no,1 - high confidence,non CD,6482,ST3GAL1,Adipocytes,Q11201,SIA4A_HUMAN,,14,1,Human,0.8909
no,1 - high confidence,non CD,23166,STAB1,Adipocytes,Q9NY15,STAB1_HUMAN,,2,1,Human,0.9878
no,1 - high confidence,non CD,79689,STEAP4,Adipocytes,Q687X5,STEA4_HUMAN,,5,1,Human,0.9941
no,1 - high confidence,non CD,7048,TGFBR2,Adipocytes,P37173,TGFR2_HUMAN,,11,1,Human,0.869
no,1 - high confidence,non CD,56889,TM9SF3,Adipocytes,Q9HD45,TM9S3_HUMAN,,44,1,Human,0.9941
no,1 - high confidence,non CD,7162,TPBG,Adipocytes,Q13641,TPBG_HUMAN,,27,1,Human,0.9941
no,1 - high confidence,non CD,1462,VCAN,Adipocytes,P13611,CSPG2_HUMAN,,6,1,Human,0.9936
no,1 - high confidence,non CD,7448,VTN,Adipocytes,P04004,VTNC_HUMAN,,19,1,Human,0.9786
CD142,1 - high confidence,CD,2152,F3,Adipocytes,P13726,TF_HUMAN,,29,2,Human,0.9991
CD156b,1 - high confidence,CD,6868,ADAM17,Adipocytes,P78536,ADA17_HUMAN,,27,2,Human,1
CD157,1 - high confidence,CD,683,BST1,Adipocytes,Q10588,BST1_HUMAN,,4,2,Human,1
CD169,1 - high confidence,CD,6614,SIGLEC1,Adipocytes,Q9BZZ2,SN_HUMAN,,2,2,Human,1
CD171,1 - high confidence,CD,3897,L1CAM,Adipocytes,P32004,L1CAM_HUMAN,,26,2,Human,0.9999
CD239,1 - high confidence,CD,4059,BCAM,Adipocytes,P50895,BCAM_HUMAN,,25,2,Human,1
CD26,1 - high confidence,CD,1803,DPP4,Adipocytes,P27487,DPP4_HUMAN,,22,2,Human,1
CD315,1 - high confidence,CD,5738,PTGFRN,Adipocytes,Q9P2B2,FPRP_HUMAN,,30,2,Human,1
CD322,1 - high confidence,CD,58494,JAM2,Adipocytes,P57087,JAM2_HUMAN,,23,2,Human,1
CD49b,1 - high confidence,CD,3673,ITGA2,Adipocytes,P17301,ITA2_HUMAN,,31,2,Human,0.999
CD55,1 - high confidence,CD,1604,CD55,Adipocytes,P08174,DAF_HUMAN,,40,2,Human,1
CD59,1 - high confidence,CD,966,CD59,Adipocytes,P13987,CD59_HUMAN,,45,2,Human,1
CD66a,1 - high confidence,CD,634,CEACAM1,Adipocytes,P13688,CEAM1_HUMAN,,10,2,Human,1
no,1 - high confidence,non CD,10351,ABCA8,Adipocytes,O94911,ABCA8_HUMAN,,7,2,Human,0.9998
no,1 - high confidence,non CD,53,ACP2,Adipocytes,P11117,PPAL_HUMAN,,21,2,Human,1
no,1 - high confidence,non CD,185,AGTR1,Adipocytes,P30556,AGTR1_HUMAN,,1,2,Human,1
no,1 - high confidence,non CD,249,ALPL,Adipocytes,P05186,PPBT_HUMAN,,8,2,Human,1
no,1 - high confidence,non CD,259,AMBP,Adipocytes,P02760,AMBP_HUMAN,,2,2,Human,1
no,1 - high confidence,non CD,722,C4BPA,Adipocytes,P04003,C4BPA_HUMAN,,1,2,Human,0.9981
no,1 - high confidence,non CD,725,C4BPB,Adipocytes,P20851,C4BPB_HUMAN,,2,2,Human,1
no,1 - high confidence,non CD,10203,CALCRL,Adipocytes,Q16602,CALRL_HUMAN,,5,2,Human,1
no,1 - high confidence,non CD,64123,ELTD1,Adipocytes,Q9HBW9,ELTD1_HUMAN,,3,2,Human,1
no,1 - high confidence,non CD,5167,ENPP1,Adipocytes,P22413,ENPP1_HUMAN,,20,2,Human,0.9888
no,1 - high confidence,non CD,221061,FAM171A1,Adipocytes,Q5VUB5,F1711_HUMAN,,15,2,Human,0.999
no,1 - high confidence,non CD,9780,FAM38A,Adipocytes,Q92508,FA38A_HUMAN,,29,2,Human,1
no,1 - high confidence,non CD,2191,FAP,Adipocytes,Q12884,SEPR_HUMAN,,18,2,Human,1
no,1 - high confidence,non CD,57720,GPR107,Adipocytes,Q5VW38,GP107_HUMAN,,20,2,Human,1
no,1 - high confidence,non CD,3105,HLA-A,Adipocytes,P30450,1A26_HUMAN,,30,2,Human,1
no,1 - high confidence,non CD,3106,HLA-B,Adipocytes,P01889,1B07_HUMAN,,8,2,Human,1
no,1 - high confidence,non CD,3115,HLA-DPB1,Adipocytes,P04440,DPB1_HUMAN,,18,2,Human,0.9991
no,1 - high confidence,non CD,3123,HLA-DRB1,Adipocytes,P01912,HB2B_HUMAN,,12,2,Human,1
no,1 - high confidence,non CD,3123,HLA-DRB1,Adipocytes,P04229,2B11_HUMAN,,3,2,Human,0.9473
no,1 - high confidence,non CD,3127,HLA-DRB5,Adipocytes,Q30154,DRB5_HUMAN,,5,2,Human,1
no,1 - high confidence,non CD,3263,HPX,Adipocytes,P02790,HEMO_HUMAN,,13,2,Human,1
no,1 - high confidence,non CD,7087,ICAM5,Adipocytes,Q9UMF0,ICAM5_HUMAN,,29,2,Human,0.9992
no,1 - high confidence,non CD,3547,IGSF1,Adipocytes,Q8N6C5,IGSF1_HUMAN,,4,2,Human,0.9997
no,1 - high confidence,non CD,3680,ITGA9,Adipocytes,Q13797,ITA9_HUMAN,,9,2,Human,1
no,1 - high confidence,non CD,3848,KRT1,Adipocytes,P04264,K2C1_HUMAN,,30,2,Human,0.8322
no,1 - high confidence,non CD,3912,LAMB1,Adipocytes,P07942,LAMB1_HUMAN,,28,2,Human,1
no,1 - high confidence,non CD,221091,LRRN4CL,Adipocytes,Q8ND94,LRN4L_HUMAN,,6,2,Human,0.9992
no,1 - high confidence,non CD,4240,MFGE8,Adipocytes,Q08431,MFGM_HUMAN,,18,2,Human,1
no,1 - high confidence,non CD,4359,MPZ,Adipocytes,P25189,MYP0_HUMAN,,3,2,Human,1
no,1 - high confidence,non CD,22795,NID2,Adipocytes,Q14112,NID2_HUMAN,,2,2,Human,1
no,1 - high confidence,non CD,4969,OGN,Adipocytes,P20774,MIME_HUMAN,,1,2,Human,0.9997
no,1 - high confidence,non CD,5004,ORM1,Adipocytes,P02763,A1AG1_HUMAN,,4,2,Human,1
no,1 - high confidence,non CD,5444,PON1,Adipocytes,P27169,PON1_HUMAN,,7,2,Human,1
no,1 - high confidence,non CD,8611,PPAP2A,Adipocytes,O14494,LPP1_HUMAN,,10,2,Human,0.9999
no,1 - high confidence,non CD,9294,S1PR2,Adipocytes,O95136,S1PR2_HUMAN,,31,2,Human,1
no,1 - high confidence,non CD,2030,SLC29A1,Adipocytes,Q99808,S29A1_HUMAN,,45,2,Human,1
no,1 - high confidence,non CD,28232,SLCO3A1,Adipocytes,Q9UIG8,SO3A1_HUMAN,,15,2,Human,1
no,1 - high confidence,non CD,6272,SORT1,Adipocytes,Q99523,SORT_HUMAN,,25,2,Human,1
no,1 - high confidence,non CD,6786,STIM1,Adipocytes,Q13586,STIM1_HUMAN,,18,2,Human,1
no,1 - high confidence,non CD,25963,TMEM87A,Adipocytes,Q8NBN3,TM87A_HUMAN,,27,2,Human,1
CD10,1 - high confidence,CD,4311,MME,Adipocytes,P08473,NEP_HUMAN,,29,3,Human,1
CD136,1 - high confidence,CD,4486,MST1R,Adipocytes,Q04912,RON_HUMAN,,14,3,Human,0.9975
CD144,1 - high confidence,CD,1003,CDH5,Adipocytes,P33151,CADH5_HUMAN,,4,3,Human,1
CD148,1 - high confidence,CD,5795,PTPRJ,Adipocytes,Q12913,PTPRJ_HUMAN,,40,3,Human,1
CD163,1 - high confidence,CD,9332,CD163,Adipocytes,Q86VB7,C163A_HUMAN,,1,3,Human,1
CD172a,1 - high confidence,CD,140885,SIRPA,Adipocytes,P78324,SHPS1_HUMAN,,33,3,Human,1
CD220,1 - high confidence,CD,3643,INSR,Adipocytes,P06213,INSR_HUMAN,,28,3,Human,1
CD63,1 - high confidence,CD,967,CD63,Adipocytes,P08962,CD63_HUMAN,,42,3,Human,1
CD73,1 - high confidence,CD,4907,NT5E,Adipocytes,P21589,5NTD_HUMAN,,30,3,Human,1
CD74,1 - high confidence,CD,972,CD74,Adipocytes,P04233,HG2A_HUMAN,,18,3,Human,1
CD97,1 - high confidence,CD,976,CD97,Adipocytes,P48960,CD97_HUMAN,,42,3,Human,1
no,1 - high confidence,non CD,0,ACAM,Adipocytes,Q9H6B4,ACAM_HUMAN,,22,3,Human,1
no,1 - high confidence,non CD,1889,ECE1,Adipocytes,P42892,ECE1_HUMAN,,40,3,Human,1
no,1 - high confidence,non CD,10457,GPNMB,Adipocytes,Q14956,GPNMB_HUMAN,,8,3,Human,1
no,1 - high confidence,non CD,3106,HLA-B,Adipocytes,P30464,1B15_HUMAN,,19,3,Human,1
no,1 - high confidence,non CD,3113,HLA-DPA1,Adipocytes,P20036,DPA1_HUMAN,,23,3,Human,1
no,1 - high confidence,non CD,3240,HP,Adipocytes,P00738,HPT_HUMAN,,13,3,Human,1
no,1 - high confidence,non CD,3507,IGHM,Adipocytes,P01871,IGHM_HUMAN,,11,3,Human,1
no,1 - high confidence,non CD,3908,LAMA2,Adipocytes,P24043,LAMA2_HUMAN,,4,3,Human,1
no,1 - high confidence,non CD,4012,LNPEP,Adipocytes,Q9UIQ6,LCAP_HUMAN,,39,3,Human,1
no,1 - high confidence,non CD,4074,M6PR,Adipocytes,P20645,MPRD_HUMAN,,42,3,Human,1
no,1 - high confidence,non CD,4886,NPY1R,Adipocytes,P25929,NPY1R_HUMAN,,2,3,Human,1
CD109,1 - high confidence,CD,135228,CD109,Adipocytes,Q6YHK3,CD109_HUMAN,,37,4,Human,1
CD317,1 - high confidence,CD,684,BST2,Adipocytes,Q10589,BST2_HUMAN,,34,4,Human,1
CD34,1 - high confidence,CD,947,CD34,Adipocytes,P28906,CD34_HUMAN,,3,4,Human,1
CD44,1 - high confidence,CD,960,CD44,Adipocytes,P16070,CD44_HUMAN,,42,4,Human,1
CD61,1 - high confidence,CD,3690,ITGB3,Adipocytes,P05106,ITB3_HUMAN,,10,4,Human,1
no,1 - high confidence,non CD,347,APOD,Adipocytes,P05090,APOD_HUMAN,,3,4,Human,1
no,1 - high confidence,non CD,1356,CP,Adipocytes,P00450,CERU_HUMAN,,6,4,Human,1
no,1 - high confidence,non CD,1956,EGFR,Adipocytes,P00533,EGFR_HUMAN,,27,4,Human,1
no,1 - high confidence,non CD,3107,HLA-C,Adipocytes,P04222,1C03_HUMAN,,21,4,Human,1
no,1 - high confidence,non CD,3122,HLA-DRA,Adipocytes,P01903,2DRA_HUMAN,,18,4,Human,1
no,1 - high confidence,non CD,3123,HLA-DRB1,Adipocytes,P20039,2B1B_HUMAN,,4,4,Human,1
no,1 - high confidence,non CD,4060,LUM,Adipocytes,P51884,LUM_HUMAN,,4,4,Human,1
no,1 - high confidence,non CD,3371,TNC,Adipocytes,P24821,TENA_HUMAN,,21,4,Human,1
no,1 - high confidence,non CD,8876,VNN1,Adipocytes,O95497,VNN1_HUMAN,,8,4,Human,1
CD143,1 - high confidence,CD,1636,ACE,Adipocytes,P12821,ACE_HUMAN,,10,5,Human,1
CD156c,1 - high confidence,CD,102,ADAM10,Adipocytes,O14672,ADA10_HUMAN,,42,5,Human,1
CD276,1 - high confidence,CD,80381,CD276,Adipocytes,Q5ZPR3,CD276_HUMAN,,36,5,Human,1
CD49c,1 - high confidence,CD,3675,ITGA3,Adipocytes,P26006,ITA3_HUMAN,,38,5,Human,1
CD54,1 - high confidence,CD,3383,ICAM1,Adipocytes,P05362,ICAM1_HUMAN,,41,5,Human,1
CD98,1 - high confidence,CD,6520,SLC3A2,Adipocytes,P08195,4F2_HUMAN,,46,5,Human,1
no,1 - high confidence,non CD,338,APOB,Adipocytes,P04114,APOB_HUMAN,,1,5,Human,1
no,1 - high confidence,non CD,220296,HEPACAM,Adipocytes,Q14CZ8,HECAM_HUMAN,,2,5,Human,1
no,1 - high confidence,non CD,3679,ITGA7,Adipocytes,Q13683,ITA7_HUMAN,,9,5,Human,1
CD11b,1 - high confidence,CD,3684,ITGAM,Adipocytes,P11215,ITAM_HUMAN,,6,6,Human,1
CD13,1 - high confidence,CD,290,ANPEP,Adipocytes,P15144,AMPN_HUMAN,,20,6,Human,1
CD18,1 - high confidence,CD,3689,ITGB2,Adipocytes,P05107,ITB2_HUMAN,,20,6,Human,1
CD45,1 - high confidence,CD,5788,PTPRC,Adipocytes,P08575,PTPRC_HUMAN,,19,6,Human,1
no,1 - high confidence,non CD,350,APOH,Adipocytes,P02749,APOH_HUMAN,,6,6,Human,1
no,1 - high confidence,non CD,1536,CYBB,Adipocytes,P04839,CY24B_HUMAN,,13,6,Human,1
no,1 - high confidence,non CD,3105,HLA-A,Adipocytes,P01892,1A02_HUMAN,,21,6,Human,1
no,1 - high confidence,non CD,3910,LAMA4,Adipocytes,Q16363,LAMA4_HUMAN,,17,6,Human,1
no,1 - high confidence,non CD,3959,LGALS3BP,Adipocytes,Q08380,LG3BP_HUMAN,,31,6,Human,1
no,1 - high confidence,non CD,23654,PLXNB2,Adipocytes,O15031,PLXB2_HUMAN,,40,6,Human,1
no,1 - high confidence,non CD,5549,PRELP,Adipocytes,P51888,PRELP_HUMAN,,1,6,Human,1
no,1 - high confidence,non CD,56241,SUSD2,Adipocytes,Q9UGT4,SUSD2_HUMAN,,12,6,Human,1
CD107b,1 - high confidence,CD,3920,LAMP2,Adipocytes,P13473,LAMP2_HUMAN,,35,7,Human,1
CD298,1 - high confidence,CD,483,ATP1B3,Adipocytes,P54709,AT1B3_HUMAN,,45,7,Human,1
CD51,1 - high confidence,CD,3685,ITGAV,Adipocytes,P06756,ITAV_HUMAN,,42,7,Human,1
no,1 - high confidence,non CD,196527,ANO6,Adipocytes,Q4KMQ2,ANO6_HUMAN,,45,7,Human,1
no,1 - high confidence,non CD,1278,COL1A2,Adipocytes,P08123,CO1A2_HUMAN,,13,7,Human,1
no,1 - high confidence,non CD,131873,COL6A6,Adipocytes,A6NMZ7,CO6A6_HUMAN,,2,7,Human,1
no,1 - high confidence,non CD,4239,MFAP4,Adipocytes,P55083,MFAP4_HUMAN,,9,7,Human,1
no,1 - high confidence,non CD,8076,MFAP5,Adipocytes,Q13361,MFAP5_HUMAN,,1,7,Human,1
no,1 - high confidence,non CD,7450,VWF,Adipocytes,P04275,VWF_HUMAN,,2,7,Human,1
CD102,1 - high confidence,CD,3384,ICAM2,Adipocytes,P13598,ICAM2_HUMAN,,23,8,Human,1
CD47,1 - high confidence,CD,961,CD47,Adipocytes,Q08722,CD47_HUMAN,,44,8,Human,1
CD49e,1 - high confidence,CD,3678,ITGA5,Adipocytes,P08648,ITA5_HUMAN,,38,8,Human,1
no,1 - high confidence,non CD,633,BGN,Adipocytes,P21810,PGS1_HUMAN,,9,8,Human,1
no,1 - high confidence,non CD,1191,CLU,Adipocytes,P10909,CLUS_HUMAN,,32,8,Human,1
