Species	Symbol	Ensembl	Family	Protein	Entrez ID
Caenorhabditis_elegans	sea-2	WBGene00004751	zf-C2H2	K10G6i;K10G6r;K10G6n;K10G6k;K10G6f;K10G6m;K10G6l;K10G6h;K10G6l;K10G6c;K10G6q;K10G6j;K10G6d;K10G6o;K10G6g;K10G6o;K10G6a;K10G6b;K10G6s;K10G6n;K10G6k;	173738
Caenorhabditis_elegans	hlh-12	WBGene00001956	bHLH	C28C12;	182980
Caenorhabditis_elegans	mml-1	WBGene00003378	bHLH	T20B12a;T20B12b;	176050
Caenorhabditis_elegans	nhr-25	WBGene00003623	SF-like	F11C1b;F11C1a;F11C1a;F11C1b;	181432
Caenorhabditis_elegans	hmg-1	WBGene00001972	HMG	F47D12c;F47D12a;F47D12b;F47D12c;F47D12a;	175890
Caenorhabditis_elegans	Y40H7A.11	WBGene00012748	zf-LITAF-like	Y40H7A;	189810
Caenorhabditis_elegans	lin-39	WBGene00003024	Homeobox	C07H6;C07H6;	176068
Caenorhabditis_elegans	unc-3	WBGene00006743	COE	Y16B4A;	181573
Caenorhabditis_elegans	bro-1	WBGene00000272	CBF	F56A3;	172158
Caenorhabditis_elegans	nhr-80	WBGene00003670	RXR-like	H10E21a;H10E21b;	175167
Caenorhabditis_elegans	dmd-11	WBGene00007930	DM	C34D1;	183203
Caenorhabditis_elegans	dmd-8	WBGene00020708	DM	T22H9;T22H9;	188771
Caenorhabditis_elegans	nhr-73	WBGene00003663	Miscellaneous	C27C7;	191722
Caenorhabditis_elegans	sox-2	WBGene00004949	HMG	K08A8b;K08A8b;K08A8a;K08A8a;K08A8a;	181002
Caenorhabditis_elegans	tra-1	WBGene00006604	zf-C2H2	Y47D3Aa;Y47D3Ab;	176548
Caenorhabditis_elegans	C30G4.4	WBGene00016269	TSC22	C30G4k;C30G4o;C30G4g;C30G4m;C30G4r;C30G4n;C30G4p;C30G4s;C30G4q;C30G4s;C30G4e;C30G4s;C30G4j;C30G4j;C30G4b;C30G4l;C30G4r;C30G4q;C30G4r;C30G4h;C30G4l;C30G4i;C30G4s;C30G4s;C30G4n;C30G4c;C30G4d;C30G4f;C30G4p;C30G4a;C30G4q;C30G4s;	181746
Caenorhabditis_elegans	egl-46	WBGene00001210	zf-C2H2	K11G9;	179058
Caenorhabditis_elegans	Y37D8A.8	WBGene00012549	zf-LITAF-like	Y37D8A;	189616
Caenorhabditis_elegans	atf-5	WBGene00000221	TF_bZIP	T04C10;T04C10;	181576
Caenorhabditis_elegans	nhr-123	WBGene00003713	Miscellaneous	M02H5;	187411
Caenorhabditis_elegans	unc-42	WBGene00006778	Homeobox	F58E6a;F58E6e;F58E6d;F58E6b;	192081
Caenorhabditis_elegans	B0310	WBGene00015138	zf-C2H2	B0310;	180403
Caenorhabditis_elegans	ZK546.5	WBGene00022762	zf-C2H2	ZK546;	173850
Caenorhabditis_elegans	mxl-2	WBGene00003510	bHLH	F40G9;	175184
Caenorhabditis_elegans	gei-13	WBGene00001570	zf-BED	F58A4;	176364
Caenorhabditis_elegans	nhr-152	WBGene00015705	RXR-like	C12D5a;	182533
Caenorhabditis_elegans	nhr-183	WBGene00018266	Miscellaneous	F41B5;	185594
Caenorhabditis_elegans	nhr-97	WBGene00003687	RXR-like	H27C11b;H27C11b;H27C11a;H27C11b;	177810
Caenorhabditis_elegans	nhr-211	WBGene00020152	Miscellaneous	T01G6;	187963
Caenorhabditis_elegans	nhr-258	WBGene00016126	ESR-like	C26B2;	182927
Caenorhabditis_elegans	nhr-84	WBGene00003674	Miscellaneous	T06C12;	191731
Caenorhabditis_elegans	snpc-4	WBGene00001568	MYB	F32H2a;F32H2b;	172711
Caenorhabditis_elegans	ada-2	WBGene00017967	MYB	F32A5a;F32A5b;	174194
Caenorhabditis_elegans	swsn-7	WBGene00007433	ARID	C08B11;	174286
Caenorhabditis_elegans	pag-3	WBGene00003909	zf-C2H2	F45B8;	181588
Caenorhabditis_elegans	nhr-186	WBGene00018541	RXR-like	F47C10a;F47C10b;	185909
Caenorhabditis_elegans	nhr-201	WBGene00019741	Miscellaneous	M02H5;	187408
Caenorhabditis_elegans	ceh-91	WBGene00013425	Homeobox	Y66A7A;	176594
Caenorhabditis_elegans	unc-39	WBGene00006775	Homeobox	F56A12;	191623
Caenorhabditis_elegans	ceh-92	WBGene00013431	Homeobox	Y66D12A;	176591
Caenorhabditis_elegans	nhr-105	WBGene00003695	NGFIB-like	C06G3a;C06G3b;C06G3b;C06G3a;	177476
Caenorhabditis_elegans	nhr-13	WBGene00003612	ESR-like	Y5H2Bb;Y5H2Bb;Y5H2Ba;Y5H2Ba;	178696
Caenorhabditis_elegans	hlh-28	WBGene00001967	bHLH	F31A3;	185134
Caenorhabditis_elegans	ces-1	WBGene00000468	zf-C2H2	F43G9;	185718
Caenorhabditis_elegans	fkh-9	WBGene00001441	Fork_head	K03C7a;K03C7b;	180670
Caenorhabditis_elegans	nhr-2	WBGene00003601	Miscellaneous	C32F10;	172251
Caenorhabditis_elegans	klu-1	WBGene00013970	zf-C2H2	ZK337;	173366
Caenorhabditis_elegans	nhr-3	WBGene00003602	RXR-like	H01A20;	181551
Caenorhabditis_elegans	ceh-24	WBGene00000447	Homeobox	F55B12;	179877
Caenorhabditis_elegans	lin-48	WBGene00003033	zf-C2H2	F34D10;	175485
Caenorhabditis_elegans	nhr-272	WBGene00011565	Miscellaneous	T07C5;	188209
Caenorhabditis_elegans	lim-4	WBGene00002987	Homeobox	ZC64c;ZC64b;ZC64a;	180672
Caenorhabditis_elegans	nhr-267	WBGene00010410	Miscellaneous	H22D14;	186760
Caenorhabditis_elegans	hlh-31	WBGene00009540	bHLH	F38C2;	3565632
Caenorhabditis_elegans	nhr-253	WBGene00022639	RXR-like	ZK6;	191205
Caenorhabditis_elegans	ceh-76	WBGene00022395	Homeobox	Y97E10AM;	190815
Caenorhabditis_elegans	Y67D8B.2	WBGene00022062	ESR-like	Y67D8B;	190514
Caenorhabditis_elegans	nhr-222	WBGene00020750	Miscellaneous	T24A6;	188828
Caenorhabditis_elegans	nhr-111	WBGene00003701	RXR-like	F44G3;	185757
Caenorhabditis_elegans	elt-7	WBGene00015981	zf-GATA	C18G1a;C18G1b;	178868
Caenorhabditis_elegans	nhr-227	WBGene00020851	Miscellaneous	T27B7a;	188976
Caenorhabditis_elegans	bed-3	WBGene00009133	zf-BED	F25H8;	184940
Caenorhabditis_elegans	sdc-1	WBGene00004745	zf-C2H2	F52E10;	181701
Caenorhabditis_elegans	swsn-3	WBGene00022182	HMG	Y71H2AM;	175393
Caenorhabditis_elegans	C41D11.3	WBGene00016562	CSRNP_N	C41D11a;C41D11b;C41D11c;C41D11d;C41D11c;C41D11d;C41D11b;	3565087
Caenorhabditis_elegans	nhr-163	WBGene00016368	Miscellaneous	C33G8;	183182
Caenorhabditis_elegans	lin-32	WBGene00003018	bHLH	T14F9;	191703
Caenorhabditis_elegans	nhr-79	WBGene00003669	Miscellaneous	T26H2a;T26H2b;	180265
Caenorhabditis_elegans	nhr-223	WBGene00012050	ESR-like	T26E4;	188934
Caenorhabditis_elegans	ztf-15	WBGene00011066	zf-C2H2	R06C7b;R06C7b;R06C7a;R06C7a;	172470
Caenorhabditis_elegans	nhr-107	WBGene00003697	Miscellaneous	C33G8;C33G8;	179083
Caenorhabditis_elegans	efl-3	WBGene00009899	E2F	F49E12;	174341
Caenorhabditis_elegans	nhr-225	WBGene00020849	Miscellaneous	T27B7;	188974
Caenorhabditis_elegans	nhr-172	WBGene00016927	GCNF-like	C54F6;	183808
Caenorhabditis_elegans	nhr-281	WBGene00008884	Miscellaneous	F16B12;	184567
Caenorhabditis_elegans	nhr-37	WBGene00018412	Miscellaneous	F44C4;	185727
Caenorhabditis_elegans	nhr-234	WBGene00012596	Miscellaneous	Y38E10A;	189663
Caenorhabditis_elegans	ceh-8	WBGene00000433	Homeobox	ZK265b;ZK265a;	191617
Caenorhabditis_elegans	ceh-41	WBGene00000462	Homeobox	T26C11;	180503
Caenorhabditis_elegans	lst-5	WBGene00016890	zf-C2H2	C52E12;	353399
Caenorhabditis_elegans	nhr-22	WBGene00003621	ESR-like	K06A1;K06A1;	174066
Caenorhabditis_elegans	ceh-90	WBGene00010995	Homeobox	R03E1b;R03E1a;	3565071
Caenorhabditis_elegans	tbx-11	WBGene00006547	T-box	F40H6;	185575
Caenorhabditis_elegans	nhr-126	WBGene00003716	Miscellaneous	F44C8;	185731
Caenorhabditis_elegans	nhr-154	WBGene00007547	RXR-like	C13C4;	182565
Caenorhabditis_elegans	egl-27	WBGene00001194	zf-GATA	C04A2b;C04A2r;C04A2d;C04A2g;C04A2e;C04A2o;C04A2i;C04A2k;C04A2n;C04A2a;C04A2f;C04A2h;C04A2j;C04A2q;C04A2p;C04A2m;	174121
Caenorhabditis_elegans	swsn-1	WBGene00004203	MYB	Y113G7Ba;Y113G7Bb;Y113G7Bb;Y113G7Bc;	180324
Caenorhabditis_elegans	sptf-3	WBGene00012735	zf-C2H2	Y40B1A;	189783
Caenorhabditis_elegans	ceh-58	WBGene00007417	Homeobox	C07E3;	182371
Caenorhabditis_elegans	hlh-4	WBGene00001951	bHLH	T05G5;	176372
Caenorhabditis_elegans	mls-2	WBGene00003377	Homeobox	C39E6;	180751
Caenorhabditis_elegans	nhr-265	WBGene00009608	Miscellaneous	F41D3;	185603
Caenorhabditis_elegans	npax-3	WBGene00011257	PAX	R13;	187848
Caenorhabditis_elegans	nhr-49	WBGene00003639	RXR-like	K10C3a;K10C3b;K10C3d;K10C3b;K10C3a;K10C3c;K10C3c;K10C3a;K10C3d;K10C3e;	172839
Caenorhabditis_elegans	Y67H2A.10	WBGene00013465	zf-C2H2	Y67H2Aa;Y67H2Ab;	259340
Caenorhabditis_elegans	dnj-11	WBGene00001029	MYB	F38A5;	177419
Caenorhabditis_elegans	nhr-162	WBGene00016367	Miscellaneous	C33G8;	183181
Caenorhabditis_elegans	nhr-181	WBGene00018189	RXR-like	F38H12a;	185483
Caenorhabditis_elegans	nhr-261	WBGene00016777	Miscellaneous	C49D10;	183611
Caenorhabditis_elegans	nhr-11	WBGene00003610	ESR-like	ZC410a;ZC410e;ZC410b;ZC410d;	177724
Caenorhabditis_elegans	dmd-7	WBGene00019521	DM	K08B12b;K08B12a;	179012
Caenorhabditis_elegans	nhr-99	WBGene00003689	Miscellaneous	M02H5;	178569
Caenorhabditis_elegans	tbx-30	WBGene00006549	T-box	Y59E9AR;	190419
Caenorhabditis_elegans	ceh-2	WBGene00000429	Homeobox	C27A12;	191615
Caenorhabditis_elegans	ceh-21	WBGene00000444	CUT	T26C11;	180504
Caenorhabditis_elegans	tbx-31	WBGene00006550	T-box	C36C9;	183272
Caenorhabditis_elegans	nhr-70	WBGene00003660	RXR-like	Y51A2D;	180217
Caenorhabditis_elegans	ceh-75	WBGene00008242	Homeobox	C50H2;	183690
Caenorhabditis_elegans	tbx-40	WBGene00006559	T-box	Y73F8A;	190679
Caenorhabditis_elegans	ceh-6	WBGene00000431	Pou	K02B12;	172640
Caenorhabditis_elegans	hlh-33	WBGene00021446	bHLH	Y39A3CR;	189728
Caenorhabditis_elegans	myrf-1	WBGene00004134	NDT80/PhoG	F59B10;	174614
Caenorhabditis_elegans	nhr-147	WBGene00015395	RXR-like	C03G6;	182170
Caenorhabditis_elegans	Y48G9A.11	WBGene00021704	zf-C2H2	Y48G9A;	190056
Caenorhabditis_elegans	dpr-1	WBGene00001062	Miscellaneous	R10D12;	187759
Caenorhabditis_elegans	unc-86	WBGene00006818	Pou	C30A5a;C30A5b;	176157
Caenorhabditis_elegans	ccch-2	WBGene00009537	zf-CCCH	F38C2;	178454
Caenorhabditis_elegans	nhr-86	WBGene00003676	Miscellaneous	Y40B10Aa;Y40B10Ab;Y40B10Aa;	178685
Caenorhabditis_elegans	nhr-229	WBGene00013795	Miscellaneous	Y116A8C;	191001
Caenorhabditis_elegans	tub-1	WBGene00006655	Tub	F10B5;	174312
Caenorhabditis_elegans	odd-2	WBGene00003846	zf-C2H2	C34H3;	183219
Caenorhabditis_elegans	nhr-92	WBGene00003682	RXR-like	Y41D4B;	176971
Caenorhabditis_elegans	nhr-26	WBGene00011568	Miscellaneous	T07C5;T07C5;	188212
Caenorhabditis_elegans	gei-17	WBGene00001574	zf-MIZ	W10D5f;W10D5c;W10D5a;W10D5e;W10D5f;W10D5d;W10D5c;W10D5g;W10D5f;W10D5e;W10D5g;W10D5a;W10D5a;W10D5e;W10D5e;W10D5c;W10D5f;W10D5a;	172733
Caenorhabditis_elegans	tbx-33	WBGene00006552	T-box	Y66A7A;	190493
Caenorhabditis_elegans	fkh-2	WBGene00001434	Fork_head	T14G12b;T14G12b;T14G12a;	180663
Caenorhabditis_elegans	nhr-275	WBGene00021163	Miscellaneous	Y5H2A;	189360
Caenorhabditis_elegans	dmd-3	WBGene00012832	DM	Y43F8Cb;Y43F8Ca;	189878
Caenorhabditis_elegans	zfp-2	WBGene00009448	zf-C2H2	F35H8;	174505
Caenorhabditis_elegans	Y55F3AM.14	WBGene00021931	zf-C2H2	Y55F3AM;Y55F3AM;	190310
Caenorhabditis_elegans	hlh-16	WBGene00001960	bHLH	DY3;	183973
Caenorhabditis_elegans	ngn-1	WBGene00003595	bHLH	Y69A2AR;	177045
Caenorhabditis_elegans	end-3	WBGene00001311	zf-GATA	F58E10;	191631
Caenorhabditis_elegans	ztf-16	WBGene00019960	zf-C2H2	R08E3b;R08E3a;	180756
Caenorhabditis_elegans	Y37D8A.26	WBGene00012561	zf-LITAF-like	Y37D8A;	259541
Caenorhabditis_elegans	nhr-90	WBGene00003680	Miscellaneous	ZK488;	178577
Caenorhabditis_elegans	nhr-52	WBGene00003642	GCNF-like	K06B4;	3565623
Caenorhabditis_elegans	ceh-10	WBGene00000435	Homeobox	W03A3;	175811
Caenorhabditis_elegans	nhr-189	WBGene00018545	SF-like	F47C10;	185913
Caenorhabditis_elegans	B0348.2	WBGene00015152	zf-LITAF-like	B0348a;	181936
Caenorhabditis_elegans	vab-7	WBGene00006873	Homeobox	M142;	176521
Caenorhabditis_elegans	nhr-199	WBGene00010604	Miscellaneous	K06B4;	187058
Caenorhabditis_elegans	cnd-1	WBGene00000561	bHLH	C34E10;	183212
Caenorhabditis_elegans	elt-3	WBGene00001251	zf-GATA	K02B9b;K02B9c;K02B9d;K02B9a;	181503
Caenorhabditis_elegans	nhr-276	WBGene00013512	ESR-like	Y71A12C;	190581
Caenorhabditis_elegans	F56D1	WBGene00018959	zf-C2H2	F56D1;	186375
Caenorhabditis_elegans	pax-2	WBGene00003938	PAX	K06B9b;K06B9a;	187062
Caenorhabditis_elegans	nhr-124	WBGene00003714	RXR-like	C17E7a;C17E7b;	182733
Caenorhabditis_elegans	F57C9.4	WBGene00019011	zf-C2H2	F57C9b;F57C9c;	172100
Caenorhabditis_elegans	nhr-9	WBGene00003608	Miscellaneous	ZK418;	191718
Caenorhabditis_elegans	ceh-48	WBGene00015934	CUT	C17H12;	182756
Caenorhabditis_elegans	nhr-130	WBGene00003720	Miscellaneous	T01G6;T01G6;	187965
Caenorhabditis_elegans	let-391	WBGene00006492	zf-C2H2	C27A12;	182953
Caenorhabditis_elegans	nhr-203	WBGene00019743	Miscellaneous	M02H5;	187410
Caenorhabditis_elegans	W02D7.6	WBGene00020942	zf-C2H2	W02D7;	179212
Caenorhabditis_elegans	nhr-118	WBGene00003708	ESR-like	F13A2;	184398
Caenorhabditis_elegans	klf-1	WBGene00018990	zf-C2H2	F56F11;F56F11;	175404
Caenorhabditis_elegans	nhr-8	WBGene00003607	THR-like	F33D4a;F33D4b;	177551
Caenorhabditis_elegans	F41B5.1	WBGene00023284	zf-BED	F41B5;	13211878
Caenorhabditis_elegans	zfh-2	WBGene00022518	Homeobox	ZC123e;ZC123c;ZC123d;ZC123a;ZC123b;ZC123f;	171670
Caenorhabditis_elegans	nhr-206	WBGene00011097	ESR-like	R07B7b;R07B7a;	187660
Caenorhabditis_elegans	Y48C3A.12	WBGene00012994	TSC22	Y48C3A;	190022
Caenorhabditis_elegans	ref-2	WBGene00004335	zf-C2H2	C47C12a;C47C12b;C47C12a;	183539
Caenorhabditis_elegans	nhr-218	WBGene00011750	Miscellaneous	T13F3a;	188479
Caenorhabditis_elegans	nhr-5	WBGene00003604	ESR-like	Y73F8Aa;Y73F8Ac;	191717
Caenorhabditis_elegans	nhr-141	WBGene00017787	RXR-like	F25E5;	184926
Caenorhabditis_elegans	hlh-25	WBGene00001964	bHLH	C17C3;	182717
Caenorhabditis_elegans	Y41C4A.11	WBGene00012757	zf-LITAF-like	Y41C4A;	29991192
Caenorhabditis_elegans	nhr-166	WBGene00016772	RXR-like	C49D10;	183605
Caenorhabditis_elegans	dpl-1	WBGene00001061	E2F	T23G7;T23G7;	174458
Caenorhabditis_elegans	ceh-84	WBGene00016557	Homeobox	C40D2;	183364
Caenorhabditis_elegans	T22C8.3	WBGene00011924	zf-C2H2	T22C8;	188731
Caenorhabditis_elegans	gmeb-2	WBGene00010010	SAND	F53H4;	181676
Caenorhabditis_elegans	ceh-18	WBGene00000441	Pou	ZC64b;ZC64a;ZC64c;	180671
Caenorhabditis_elegans	egl-44	WBGene00001208	TEA	F28B12b;F28B12f;F28B12a;F28B12d;F28B12c;	174005
Caenorhabditis_elegans	B0336.7	WBGene00015147	THAP	B0336b;B0336a;	175792
Caenorhabditis_elegans	nhr-137	WBGene00003727	Miscellaneous	C56E10b;	183865
Caenorhabditis_elegans	ceh-83	WBGene00018446	Homeobox	F45C12;F45C12;F45C12;	173541
Caenorhabditis_elegans	K09A11.1	WBGene00010704	zf-BED	K09A11;	187182
Caenorhabditis_elegans	dmd-9	WBGene00022060	DM	Y67D8A;	190512
Caenorhabditis_elegans	sdz-12	WBGene00017406	zf-C2H2	F12E12;	184388
Caenorhabditis_elegans	nhr-173	WBGene00016975	RXR-like	C56E10;	183862
Caenorhabditis_elegans	nhr-156	WBGene00015897	Miscellaneous	C17E7;	182727
Caenorhabditis_elegans	efl-1	WBGene00001161	E2F	Y102A5C;	180133
Caenorhabditis_elegans	lin-11	WBGene00003000	Homeobox	ZC247;	172893
Caenorhabditis_elegans	tbx-43	WBGene00044798	T-box	Y46E12A;	4363053
Caenorhabditis_elegans	K11D2.4	WBGene00010770	zf-C2H2	K11D2b;K11D2e;K11D2a;K11D2d;K11D2c;	187291
Caenorhabditis_elegans	nhr-88	WBGene00003678	RXR-like	K08A2a;K08A2c;K08A2a;K08A2c;	173641
Caenorhabditis_elegans	nhr-82	WBGene00003672	Miscellaneous	F41D3;	191729
Caenorhabditis_elegans	F47E1.3	WBGene00018567	zf-C2H2	F47E1;	185936
Caenorhabditis_elegans	nhr-216	WBGene00020385	Miscellaneous	T09D3;	188325
Caenorhabditis_elegans	ehn-3	WBGene00001223	zf-C2H2	ZK616a;ZK616b;ZK616c;	191363
Caenorhabditis_elegans	nhr-233	WBGene00006471	ESR-like	Y32B12B;	189569
Caenorhabditis_elegans	nhr-282	WBGene00010017	ESR-like	F54B8;	186200
Caenorhabditis_elegans	nhr-287	WBGene00021521	RXR-like	Y41D4B;	189824
Caenorhabditis_elegans	nhr-226	WBGene00020850	Miscellaneous	T27B7;	188975
Caenorhabditis_elegans	zip-11	WBGene00021082	TF_bZIP	W08E12;	177099
Caenorhabditis_elegans	ahr-1	WBGene00000096	bHLH	C41G7a;	172788
Caenorhabditis_elegans	cey-3	WBGene00000474	CSD	M01E11;M01E11;	172211
Caenorhabditis_elegans	ceh-49	WBGene00017538	CUT	F17A9;	179001
Caenorhabditis_elegans	nhr-87	WBGene00003677	Miscellaneous	Y41D4B;	176972
Caenorhabditis_elegans	nhr-46	WBGene00003636	ESR-like	C45E5c;C45E5a;C45E5d;C45E5c;C45E5a;C45E5d;C45E5c;C45E5c;C45E5c;C45E5b;	177350
Caenorhabditis_elegans	nhr-106	WBGene00003696	Miscellaneous	T01G6;	178571
Caenorhabditis_elegans	ceh-37	WBGene00000458	Homeobox	C37E2a;C37E2a;C37E2b;C37E2c;C37E2a;	181530
Caenorhabditis_elegans	nhr-192	WBGene00010180	Miscellaneous	F57A8;	186431
Caenorhabditis_elegans	C08E8.1	WBGene00007437	zf-LITAF-like	C08E8;C08E8;	182406
Caenorhabditis_elegans	nhr-94	WBGene00003684	Miscellaneous	C12D5a;	179149
Caenorhabditis_elegans	F33H1.4	WBGene00009365	zf-BED	F33H1;F33H1;	174580
Caenorhabditis_elegans	nhr-101	WBGene00003691	RXR-like	H12C20a;	179588
Caenorhabditis_elegans	ceh-100	WBGene00012584	Homeobox	Y38E10Aa;Y38E10Ab;	174894
Caenorhabditis_elegans	nhr-271	WBGene00011396	Miscellaneous	T03E6;	188016
Caenorhabditis_elegans	nhr-17	WBGene00003616	RXR-like	C02B4;	191719
Caenorhabditis_elegans	ceh-13	WBGene00000437	Homeobox	R13A5;R13A5;	176069
Caenorhabditis_elegans	nhr-21	WBGene00003620	Miscellaneous	F21D12a;F21D12d;F21D12b;F21D12c;F21D12e;F21D12c;	174202
Caenorhabditis_elegans	fkh-4	WBGene00001436	Fork_head	C29F7;	181466
Caenorhabditis_elegans	sma-9	WBGene00004862	zf-C2H2	T05A10a;T05A10i;T05A10g;T05A10m;T05A10h;T05A10f;T05A10d;T05A10l;T05A10c;T05A10e;T05A10g;T05A10j;	181271
Caenorhabditis_elegans	ets-4	WBGene00017687	ETS	F22A3a;F22A3a;F22A3a;F22A3b;	180927
Caenorhabditis_elegans	nhr-213	WBGene00011520	Miscellaneous	T06C12a;T06C12b;	188172
Caenorhabditis_elegans	nhr-136	WBGene00003726	THR-like	C13C4;	182566
Caenorhabditis_elegans	nfi-1	WBGene00003592	MH1	ZK1290c;ZK1290a;ZK1290b;	174225
Caenorhabditis_elegans	ceh-93	WBGene00019864	Homeobox	R04A9;	180394
Caenorhabditis_elegans	med-1	WBGene00003180	zf-GATA	T24D3;	191705
Caenorhabditis_elegans	nhr-182	WBGene00018265	Miscellaneous	F41B5;	185593
Caenorhabditis_elegans	lin-1	WBGene00002990	ETS	C37F5b;C37F5b;C37F5a;	177016
Caenorhabditis_elegans	ref-1	WBGene00004334	bHLH	T01E8;	174585
Caenorhabditis_elegans	nhr-252	WBGene00022637	ESR-like	ZK6;	191203
Caenorhabditis_elegans	hlh-14	WBGene00001958	bHLH	C18A3;	182758
Caenorhabditis_elegans	egl-5	WBGene00001174	Homeobox	C08C3c;C08C3b;C08C3a;	176093
Caenorhabditis_elegans	ceh-1	WBGene00000428	Homeobox	F16H11;	191614
Caenorhabditis_elegans	nhr-142	WBGene00018430	Miscellaneous	F44E7b;F44E7a;	185740
Caenorhabditis_elegans	ceh-40	WBGene00000461	Homeobox	F17A2;	191624
Caenorhabditis_elegans	nhr-19	WBGene00003618	RXR-like	E02H1;	174512
Caenorhabditis_elegans	hinf-1	WBGene00009553	zf-C2H2	F39B2;	173348
Caenorhabditis_elegans	ceh-99	WBGene00044032	Homeobox	T21B4;	188680
Caenorhabditis_elegans	nhr-262	WBGene00008619	RXR-like	F09C6;	184235
Caenorhabditis_elegans	hlh-6	WBGene00001952	bHLH	T15H9;	188539
Caenorhabditis_elegans	fkh-5	WBGene00001437	Fork_head	F26A1;	184944
Caenorhabditis_elegans	nhr-268	WBGene00010601	RXR-like	K06B4;K06B4;	187054
Caenorhabditis_elegans	nhr-64	WBGene00003654	RXR-like	C45E1b;C45E1a;C45E1a;C45E1a;	171884
Caenorhabditis_elegans	pop-1	WBGene00004077	HMG	W10C8;	171849
Caenorhabditis_elegans	svh-5	WBGene00006462	ETS	C33A11b;C33A11a;	181627
Caenorhabditis_elegans	mls-1	WBGene00003376	T-box	H14A12;	186741
Caenorhabditis_elegans	Y50E8A.12	WBGene00013055	THAP	Y50E8Aa;Y50E8Ac;	190112
Caenorhabditis_elegans	pha-2	WBGene00004011	Homeobox	M6;	187454
Caenorhabditis_elegans	dmd-5	WBGene00017326	DM	F10C1;	184287
Caenorhabditis_elegans	spr-1	WBGene00005006	MYB	D1014;	179192
Caenorhabditis_elegans	nhr-51	WBGene00003641	GCNF-like	K06B4;	180052
Caenorhabditis_elegans	mef-2	WBGene00003182	SRF	W10D5;	172732
Caenorhabditis_elegans	elt-6	WBGene00001253	zf-GATA	F52C12;F52C12;	176993
Caenorhabditis_elegans	nhr-115	WBGene00003705	Miscellaneous	T27B7a;	178708
Caenorhabditis_elegans	nhr-208	WBGene00011099	GCNF-like	R07B7;	187662
Caenorhabditis_elegans	sex-1	WBGene00004786	THR-like	F44A6;F44A6;	181231
Caenorhabditis_elegans	ceh-33	WBGene00000454	Homeobox	C10G8;	191622
Caenorhabditis_elegans	mdl-1	WBGene00003163	bHLH	R03E9;	180942
Caenorhabditis_elegans	tbx-36	WBGene00006555	T-box	ZK829;	191435
Caenorhabditis_elegans	nhr-42	WBGene00003632	Miscellaneous	C33G8;	179084
Caenorhabditis_elegans	nhr-168	WBGene00008221	RXR-like	C50B6b;C50B6b;C50B6a;	353455
Caenorhabditis_elegans	ctbp-1	WBGene00006424	THAP	F49E10a;	180853
